road,hour,day_of_week,is_weekend,weather,incidents,congestion_pct
İstiqlaliyyət,2,6,1,Açıq,0,19
Heydər Əliyev,14,4,0,Qarlı,0,76
Zərdabi,11,1,0,Dumanlı,0,41
Heydər Əliyev,18,1,0,Açıq,0,72
Rəşid Behbudov,16,4,0,Qarlı,0,68
Heydər Əliyev,22,1,0,Dumanlı,0,30
Heydər Əliyev,11,3,0,Açıq,0,46
Atatürk,8,1,0,Açıq,0,66
Babək,17,5,1,Açıq,0,39
Rəşid Behbudov,8,0,0,Dumanlı,0,87
Ziya Bünyadov,20,3,0,Qarlı,0,100
İstiqlaliyyət,23,6,1,Yağışlı,0,37
Rəşid Behbudov,20,2,0,Açıq,0,71
Babək,9,4,0,Yağışlı,0,94
Rəşid Behbudov,16,2,0,Qarlı,0,94
Neftçilər,19,5,1,Dumanlı,0,50
Babək,19,1,0,Yağışlı,0,87
Atatürk,20,6,1,Açıq,0,30
Heydər Əliyev,18,5,1,Yağışlı,0,56
Atatürk,20,4,0,Açıq,0,73
Heydər Əliyev,0,0,0,Açıq,0,24
Babək,13,2,0,Dumanlı,0,52
Neftçilər,0,1,0,Qarlı,0,58
Rəşid Behbudov,18,4,0,Yağışlı,0,74
Zərdabi,10,0,0,Dumanlı,0,72
Tbilisi,18,4,0,Açıq,0,74
Atatürk,12,6,1,Dumanlı,1,84
Tbilisi,23,3,0,Dumanlı,0,41
Atatürk,15,1,0,Yağışlı,0,55
Qara Qarayev,17,4,0,Qarlı,0,100
Zərdabi,12,4,0,Qarlı,0,73
Heydər Əliyev,8,0,0,Dumanlı,2,100
Atatürk,18,2,0,Yağışlı,1,100
Heydər Əliyev,6,4,0,Açıq,0,28
Tbilisi,15,1,0,Açıq,0,48
Atatürk,17,1,0,Dumanlı,0,92
Babək,14,3,0,Dumanlı,0,47
Babək,6,1,0,Qarlı,0,62
Zərdabi,3,3,0,Qarlı,0,61
Heydər Əliyev,5,2,0,Dumanlı,0,40
Tbilisi,7,0,0,Qarlı,1,100
Zərdabi,11,5,1,Qarlı,0,81
Qara Qarayev,9,6,1,Yağışlı,0,61
Qara Qarayev,12,4,0,Açıq,0,33
Tbilisi,11,3,0,Dumanlı,0,57
Neftçilər,9,0,0,Açıq,0,74
Zərdabi,15,5,1,Açıq,0,23
Rəşid Behbudov,16,4,0,Qarlı,0,73
Rəşid Behbudov,12,0,0,Dumanlı,0,53
Zərdabi,10,4,0,Açıq,0,46
Rəşid Behbudov,4,4,0,Yağışlı,0,45
Heydər Əliyev,8,2,0,Açıq,3,100
Qara Qarayev,20,0,0,Yağışlı,0,100
Babək,9,5,1,Qarlı,0,62
Ziya Bünyadov,10,1,0,Açıq,0,44
Heydər Əliyev,20,4,0,Yağışlı,0,92
Neftçilər,0,5,1,Qarlı,0,56
Neftçilər,16,3,0,Yağışlı,0,50
Heydər Əliyev,5,0,0,Qarlı,2,99
Rəşid Behbudov,0,0,0,Dumanlı,0,27
İstiqlaliyyət,10,6,1,Dumanlı,0,66
Neftçilər,5,1,0,Açıq,0,10
Babək,14,0,0,Açıq,0,41
Atatürk,23,1,0,Dumanlı,0,25
Atatürk,7,2,0,Dumanlı,0,74
Babək,11,2,0,Dumanlı,0,49
Neftçilər,3,0,0,Yağışlı,0,36
Heydər Əliyev,5,4,0,Açıq,0,18
Rəşid Behbudov,3,3,0,Açıq,0,30
Tbilisi,22,3,0,Qarlı,0,59
Babək,15,6,1,Qarlı,0,63
Neftçilər,20,3,0,Yağışlı,0,99
Atatürk,5,3,0,Qarlı,0,56
Atatürk,11,2,0,Dumanlı,0,43
Heydər Əliyev,6,0,0,Qarlı,0,47
Rəşid Behbudov,23,5,1,Dumanlı,0,33
İstiqlaliyyət,23,4,0,Qarlı,0,56
Qara Qarayev,23,2,0,Qarlı,0,51
Rəşid Behbudov,7,6,1,Qarlı,0,63
Rəşid Behbudov,4,5,1,Qarlı,0,47
İstiqlaliyyət,3,4,0,Qarlı,0,58
İstiqlaliyyət,9,6,1,Qarlı,0,54
Ziya Bünyadov,21,1,0,Qarlı,0,62
Neftçilər,11,6,1,Açıq,0,45
Atatürk,23,2,0,Dumanlı,0,40
Ziya Bünyadov,19,4,0,Açıq,0,85
Babək,23,6,1,Dumanlı,0,43
Zərdabi,7,6,1,Yağışlı,0,61
Heydər Əliyev,14,6,1,Dumanlı,0,40
Zərdabi,11,1,0,Açıq,0,50
Rəşid Behbudov,12,1,0,Dumanlı,0,60
Qara Qarayev,2,5,1,Açıq,1,47
Zərdabi,15,2,0,Dumanlı,2,100
Zərdabi,16,5,1,Yağışlı,0,65
Neftçilər,15,0,0,Açıq,0,21
Zərdabi,1,4,0,Yağışlı,0,47
Qara Qarayev,1,3,0,Qarlı,0,57
Qara Qarayev,10,0,0,Dumanlı,1,62
Tbilisi,4,5,1,Qarlı,0,53
Babək,22,4,0,Qarlı,0,55
Tbilisi,5,1,0,Dumanlı,1,43
Tbilisi,10,1,0,Yağışlı,0,57
Ziya Bünyadov,20,3,0,Qarlı,0,100
Zərdabi,15,0,0,Yağışlı,0,58
Qara Qarayev,12,1,0,Qarlı,1,92
İstiqlaliyyət,11,6,1,Qarlı,0,90
İstiqlaliyyət,8,1,0,Qarlı,0,89
Tbilisi,12,0,0,Qarlı,0,52
Qara Qarayev,1,6,1,Açıq,0,12
Rəşid Behbudov,23,2,0,Açıq,0,11
Rəşid Behbudov,10,0,0,Açıq,1,66
Atatürk,10,4,0,Dumanlı,0,48
Tbilisi,5,0,0,Yağışlı,2,76
Heydər Əliyev,9,6,1,Açıq,0,35
Heydər Əliyev,8,3,0,Qarlı,0,95
Qara Qarayev,17,0,0,Dumanlı,1,100
Zərdabi,14,6,1,Açıq,0,42
Zərdabi,12,3,0,Dumanlı,0,58
Neftçilər,6,1,0,Dumanlı,0,26
Heydər Əliyev,2,4,0,Açıq,0,12
Atatürk,7,4,0,Açıq,0,75
İstiqlaliyyət,11,4,0,Qarlı,0,74
Neftçilər,15,3,0,Yağışlı,0,57
Zərdabi,0,1,0,Açıq,0,16
Rəşid Behbudov,11,5,1,Açıq,0,31
Babək,12,4,0,Qarlı,1,84
Ziya Bünyadov,20,6,1,Yağışlı,0,64
Ziya Bünyadov,13,2,0,Yağışlı,1,100
Heydər Əliyev,4,2,0,Qarlı,0,55
Zərdabi,15,2,0,Yağışlı,0,61
Ziya Bünyadov,22,4,0,Yağışlı,0,51
Rəşid Behbudov,0,4,0,Qarlı,0,48
Tbilisi,6,4,0,Dumanlı,0,36
Qara Qarayev,11,6,1,Açıq,0,44
Neftçilər,19,5,1,Dumanlı,0,45
Atatürk,14,0,0,Açıq,1,69
İstiqlaliyyət,20,5,1,Yağışlı,0,50
Qara Qarayev,13,3,0,Qarlı,0,69
Ziya Bünyadov,10,1,0,Açıq,0,58
Ziya Bünyadov,3,6,1,Yağışlı,0,39
Ziya Bünyadov,19,3,0,Qarlı,2,100
Ziya Bünyadov,5,2,0,Açıq,1,64
Zərdabi,23,5,1,Yağışlı,0,43
Heydər Əliyev,12,3,0,Dumanlı,0,42
Ziya Bünyadov,7,1,0,Yağışlı,0,100
Babək,15,0,0,Qarlı,0,60
Tbilisi,14,2,0,Açıq,0,28
İstiqlaliyyət,13,6,1,Dumanlı,1,83
Tbilisi,11,5,1,Açıq,0,32
Neftçilər,7,1,0,Qarlı,0,98
Zərdabi,5,6,1,Yağışlı,0,36
Atatürk,3,6,1,Açıq,0,21
Zərdabi,22,4,0,Qarlı,1,69
Babək,20,2,0,Yağışlı,0,87
Qara Qarayev,1,1,0,Yağışlı,0,41
Neftçilər,12,5,1,Dumanlı,0,48
Babək,17,0,0,Qarlı,0,100
Ziya Bünyadov,22,6,1,Yağışlı,0,37
İstiqlaliyyət,22,1,0,Dumanlı,1,42
Tbilisi,7,6,1,Yağışlı,0,47
Rəşid Behbudov,4,3,0,Yağışlı,0,44
Atatürk,21,1,0,Açıq,1,34
Atatürk,19,3,0,Dumanlı,2,100
İstiqlaliyyət,12,5,1,Yağışlı,1,64
Tbilisi,21,4,0,Yağışlı,1,50
Qara Qarayev,11,0,0,Dumanlı,0,37
Zərdabi,0,5,1,Açıq,0,14
Neftçilər,15,2,0,Qarlı,0,87
Ziya Bünyadov,21,6,1,Açıq,0,28
Babək,0,6,1,Yağışlı,0,38
Rəşid Behbudov,19,6,1,Açıq,0,41
Neftçilər,2,2,0,Açıq,0,22
Heydər Əliyev,23,3,0,Dumanlı,0,38
Babək,7,6,1,Qarlı,0,60
Babək,13,6,1,Dumanlı,0,56
Tbilisi,5,5,1,Yağışlı,0,46
Atatürk,11,4,0,Yağışlı,0,73
Qara Qarayev,5,4,0,Açıq,1,38
Zərdabi,16,1,0,Yağışlı,1,65
Heydər Əliyev,12,2,0,Açıq,1,57
Neftçilər,3,1,0,Yağışlı,0,46
Zərdabi,13,2,0,Dumanlı,0,46
Atatürk,2,3,0,Dumanlı,0,34
Tbilisi,7,5,1,Yağışlı,0,56
Zərdabi,19,5,1,Açıq,0,25
İstiqlaliyyət,0,1,0,Qarlı,0,52
Atatürk,18,0,0,Yağışlı,0,92
Heydər Əliyev,18,4,0,Yağışlı,0,93
Heydər Əliyev,13,5,1,Dumanlı,0,41
Zərdabi,3,4,0,Açıq,0,19
Neftçilər,11,4,0,Qarlı,0,69
Zərdabi,20,3,0,Dumanlı,0,86
İstiqlaliyyət,11,0,0,Yağışlı,0,68
İstiqlaliyyət,9,4,0,Qarlı,0,91
Ziya Bünyadov,6,0,0,Yağışlı,0,60
Babək,13,5,1,Açıq,0,49
Babək,19,0,0,Qarlı,0,100
Babək,7,6,1,Qarlı,0,76
Atatürk,12,3,0,Yağışlı,0,53
Zərdabi,21,2,0,Qarlı,0,58
Tbilisi,14,4,0,Yağışlı,0,69
Ziya Bünyadov,6,5,1,Açıq,0,23
İstiqlaliyyət,14,5,1,Açıq,1,61
Tbilisi,21,1,0,Dumanlı,0,40
Heydər Əliyev,1,1,0,Açıq,0,17
Heydər Əliyev,23,2,0,Açıq,3,80
Ziya Bünyadov,6,3,0,Yağışlı,0,48
Tbilisi,13,0,0,Dumanlı,0,56
Atatürk,16,2,0,Açıq,0,41
Rəşid Behbudov,8,2,0,Qarlı,0,100
Zərdabi,1,5,1,Dumanlı,0,33
Neftçilər,15,6,1,Açıq,0,47
Neftçilər,13,6,1,Dumanlı,1,57
Zərdabi,18,0,0,Qarlı,1,100
Zərdabi,0,0,0,Açıq,0,27
İstiqlaliyyət,11,6,1,Yağışlı,0,42
Tbilisi,2,1,0,Qarlı,0,47
Ziya Bünyadov,4,5,1,Qarlı,1,100
Ziya Bünyadov,16,0,0,Dumanlı,2,100
Qara Qarayev,23,3,0,Açıq,0,18
Babək,7,5,1,Yağışlı,0,42
Rəşid Behbudov,7,2,0,Dumanlı,1,92
Neftçilər,2,2,0,Qarlı,0,49
Babək,6,0,0,Yağışlı,0,46
Neftçilər,6,3,0,Qarlı,0,44
Atatürk,0,3,0,Dumanlı,0,41
Tbilisi,9,3,0,Qarlı,0,99
Atatürk,4,6,1,Dumanlı,0,35
Zərdabi,6,1,0,Dumanlı,0,31
Neftçilər,1,0,0,Açıq,0,18
Ziya Bünyadov,21,1,0,Yağışlı,0,55
Atatürk,10,6,1,Qarlı,0,72
Rəşid Behbudov,6,2,0,Qarlı,0,51
Qara Qarayev,16,6,1,Açıq,1,59
Neftçilər,8,3,0,Yağışlı,0,100
Neftçilər,2,3,0,Yağışlı,0,41
Zərdabi,14,1,0,Açıq,2,75
İstiqlaliyyət,21,5,1,Açıq,0,12
Ziya Bünyadov,5,1,0,Qarlı,0,57
İstiqlaliyyət,2,6,1,Dumanlı,0,41
Heydər Əliyev,21,5,1,Dumanlı,0,26
Rəşid Behbudov,2,4,0,Dumanlı,0,44
Zərdabi,17,1,0,Qarlı,1,100
İstiqlaliyyət,6,5,1,Yağışlı,0,43
Rəşid Behbudov,21,3,0,Qarlı,1,69
Qara Qarayev,21,6,1,Qarlı,0,57
Heydər Əliyev,16,3,0,Yağışlı,0,63
Babək,22,2,0,Qarlı,0,53
Neftçilər,0,1,0,Qarlı,0,55
Tbilisi,17,3,0,Yağışlı,0,89
Qara Qarayev,5,4,0,Dumanlı,0,26
Rəşid Behbudov,10,1,0,Qarlı,0,71
Neftçilər,8,4,0,Yağışlı,0,87
Babək,8,5,1,Dumanlı,0,41
Rəşid Behbudov,17,0,0,Yağışlı,0,91
Zərdabi,21,0,0,Yağışlı,0,42
Neftçilər,22,0,0,Qarlı,0,42
Babək,7,4,0,Açıq,0,83
Rəşid Behbudov,7,2,0,Yağışlı,0,88
Rəşid Behbudov,6,4,0,Dumanlı,0,34
Rəşid Behbudov,18,5,1,Qarlı,0,66
Ziya Bünyadov,0,5,1,Dumanlı,0,43
Zərdabi,5,5,1,Açıq,0,18
Babək,14,6,1,Qarlı,1,81
Qara Qarayev,11,1,0,Dumanlı,1,68
Rəşid Behbudov,12,2,0,Dumanlı,2,82
Heydər Əliyev,22,3,0,Qarlı,0,54
Rəşid Behbudov,4,1,0,Qarlı,0,57
Ziya Bünyadov,20,1,0,Qarlı,1,100
Ziya Bünyadov,20,2,0,Yağışlı,0,98
Ziya Bünyadov,4,1,0,Açıq,0,22
Heydər Əliyev,5,6,1,Açıq,0,12
Qara Qarayev,4,0,0,Yağışlı,0,33
Zərdabi,1,3,0,Açıq,1,37
İstiqlaliyyət,0,1,0,Yağışlı,0,38
Zərdabi,6,1,0,Dumanlı,0,37
Babək,7,1,0,Dumanlı,0,89
Rəşid Behbudov,22,2,0,Qarlı,1,67
Babək,8,0,0,Dumanlı,0,79
Babək,21,0,0,Açıq,2,50
Ziya Bünyadov,3,3,0,Açıq,0,32
Qara Qarayev,1,0,0,Qarlı,0,49
Neftçilər,20,6,1,Açıq,1,53
Qara Qarayev,4,2,0,Yağışlı,0,31
Babək,2,3,0,Qarlı,0,46
Babək,22,0,0,Dumanlı,0,22
Babək,23,6,1,Dumanlı,1,63
Atatürk,17,6,1,Dumanlı,0,48
Heydər Əliyev,6,6,1,Yağışlı,0,45
Qara Qarayev,20,1,0,Açıq,1,92
Rəşid Behbudov,17,4,0,Açıq,0,68
Atatürk,8,0,0,Açıq,0,64
Rəşid Behbudov,18,3,0,Qarlı,0,100
Tbilisi,23,6,1,Qarlı,1,61
İstiqlaliyyət,7,0,0,Qarlı,0,100
Babək,2,2,0,Dumanlı,1,64
Neftçilər,11,4,0,Açıq,0,33
Atatürk,0,0,0,Qarlı,0,63
Atatürk,20,1,0,Qarlı,1,100
Rəşid Behbudov,15,1,0,Qarlı,0,82
Babək,0,6,1,Açıq,0,21
Zərdabi,21,3,0,Açıq,0,15
Ziya Bünyadov,3,2,0,Dumanlı,0,47
Zərdabi,4,6,1,Açıq,0,13
Zərdabi,2,5,1,Yağışlı,1,60
Tbilisi,18,2,0,Qarlı,0,100
Heydər Əliyev,14,0,0,Açıq,0,52
Ziya Bünyadov,19,0,0,Yağışlı,0,86
Atatürk,18,5,1,Yağışlı,0,58
Atatürk,4,6,1,Açıq,0,10
Ziya Bünyadov,18,2,0,Yağışlı,0,91
Ziya Bünyadov,20,2,0,Yağışlı,1,100
Neftçilər,22,0,0,Qarlı,0,39
Ziya Bünyadov,9,5,1,Açıq,0,33
Ziya Bünyadov,5,3,0,Qarlı,0,54
Zərdabi,5,6,1,Açıq,0,17
Neftçilər,8,0,0,Açıq,1,100
Heydər Əliyev,9,4,0,Dumanlı,1,100
Rəşid Behbudov,22,3,0,Dumanlı,0,30
Tbilisi,0,4,0,Açıq,0,28
Atatürk,5,5,1,Qarlı,0,57
Atatürk,6,4,0,Dumanlı,2,75
Tbilisi,10,4,0,Dumanlı,0,44
Ziya Bünyadov,16,0,0,Yağışlı,2,92
Rəşid Behbudov,1,6,1,Açıq,0,25
Zərdabi,17,0,0,Yağışlı,0,90
Rəşid Behbudov,15,4,0,Yağışlı,0,68
Atatürk,21,2,0,Dumanlı,0,38
Ziya Bünyadov,2,1,0,Dumanlı,0,49
Qara Qarayev,5,3,0,Açıq,1,44
Atatürk,0,6,1,Dumanlı,0,33
Neftçilər,10,3,0,Dumanlı,0,41
Atatürk,6,4,0,Açıq,1,46
Atatürk,3,5,1,Yağışlı,0,27
Heydər Əliyev,16,1,0,Açıq,0,27
Ziya Bünyadov,2,0,0,Açıq,0,29
İstiqlaliyyət,21,2,0,Dumanlı,1,41
İstiqlaliyyət,10,0,0,Qarlı,2,100
Rəşid Behbudov,19,3,0,Qarlı,0,95
Ziya Bünyadov,5,1,0,Qarlı,0,55
Neftçilər,22,2,0,Qarlı,1,87
Atatürk,8,2,0,Dumanlı,0,76
Atatürk,10,1,0,Dumanlı,2,89
İstiqlaliyyət,23,0,0,Yağışlı,0,32
Atatürk,3,3,0,Qarlı,1,65
Atatürk,8,5,1,Yağışlı,0,55
Atatürk,7,4,0,Yağışlı,0,96
Tbilisi,13,2,0,Dumanlı,0,53
Zərdabi,8,1,0,Qarlı,1,100
Heydər Əliyev,22,6,1,Açıq,0,12
Atatürk,3,3,0,Yağışlı,0,38
Qara Qarayev,9,2,0,Dumanlı,0,68
Qara Qarayev,3,0,0,Qarlı,0,42
İstiqlaliyyət,15,0,0,Açıq,0,49
Atatürk,4,5,1,Dumanlı,0,41
Babək,18,3,0,Qarlı,0,100
Rəşid Behbudov,12,2,0,Qarlı,0,60
Rəşid Behbudov,18,5,1,Qarlı,0,72
Tbilisi,8,6,1,Yağışlı,1,77
Ziya Bünyadov,5,5,1,Dumanlı,0,32
Rəşid Behbudov,16,6,1,Açıq,0,28
Neftçilər,21,3,0,Qarlı,0,55
Neftçilər,20,1,0,Yağışlı,0,100
Ziya Bünyadov,13,1,0,Qarlı,0,87
Zərdabi,7,0,0,Dumanlı,0,72
Neftçilər,23,0,0,Yağışlı,2,75
İstiqlaliyyət,23,5,1,Açıq,0,19
Atatürk,14,1,0,Dumanlı,0,55
Tbilisi,11,3,0,Dumanlı,0,47
Ziya Bünyadov,18,1,0,Açıq,1,93
Neftçilər,4,0,0,Açıq,0,20
Babək,6,2,0,Açıq,0,23
Zərdabi,17,3,0,Dumanlı,0,91
İstiqlaliyyət,1,0,0,Açıq,0,20
Zərdabi,16,1,0,Açıq,2,84
Atatürk,20,5,1,Qarlı,2,100
Atatürk,4,6,1,Açıq,0,26
Heydər Əliyev,15,4,0,Yağışlı,0,59
Heydər Əliyev,10,5,1,Açıq,0,47
Atatürk,10,4,0,Yağışlı,0,52
Ziya Bünyadov,3,0,0,Yağışlı,0,39
Rəşid Behbudov,23,2,0,Yağışlı,0,42
Heydər Əliyev,17,5,1,Açıq,0,28
Qara Qarayev,10,6,1,Açıq,0,40
Zərdabi,19,0,0,Qarlı,0,93
Atatürk,14,2,0,Dumanlı,0,69
Atatürk,14,2,0,Qarlı,0,77
Heydər Əliyev,4,1,0,Yağışlı,0,39
Babək,10,3,0,Yağışlı,1,100
Qara Qarayev,5,2,0,Yağışlı,2,87
Heydər Əliyev,0,1,0,Yağışlı,2,92
Ziya Bünyadov,6,0,0,Dumanlı,0,38
Atatürk,11,5,1,Açıq,0,30
Zərdabi,5,2,0,Yağışlı,0,41
Neftçilər,2,6,1,Açıq,0,15
Rəşid Behbudov,18,4,0,Yağışlı,0,93
Atatürk,15,6,1,Açıq,0,53
Heydər Əliyev,1,4,0,Yağışlı,0,55
Ziya Bünyadov,8,0,0,Dumanlı,0,84
Qara Qarayev,12,2,0,Yağışlı,0,68
Heydər Əliyev,14,6,1,Qarlı,0,66
Ziya Bünyadov,17,2,0,Qarlı,0,100
Zərdabi,6,4,0,Yağışlı,0,43
Ziya Bünyadov,17,6,1,Açıq,0,45
Rəşid Behbudov,5,5,1,Qarlı,0,49
Qara Qarayev,4,3,0,Açıq,2,48
Babək,7,4,0,Dumanlı,0,77
Tbilisi,5,6,1,Dumanlı,2,82
Rəşid Behbudov,10,4,0,Qarlı,0,74
Heydər Əliyev,21,2,0,Qarlı,0,56
Rəşid Behbudov,21,6,1,Yağışlı,0,49
Tbilisi,9,5,1,Dumanlı,0,51
Heydər Əliyev,3,5,1,Qarlı,0,51
Ziya Bünyadov,7,4,0,Qarlı,0,100
Heydər Əliyev,0,1,0,Yağışlı,0,33
Ziya Bünyadov,4,2,0,Açıq,0,23
İstiqlaliyyət,17,0,0,Dumanlı,1,94
Heydər Əliyev,10,1,0,Dumanlı,0,35
Tbilisi,7,6,1,Qarlı,0,66
Ziya Bünyadov,6,0,0,Qarlı,2,82
Qara Qarayev,15,4,0,Qarlı,0,69
Neftçilər,4,2,0,Qarlı,0,61
Ziya Bünyadov,4,6,1,Açıq,0,38
Atatürk,19,5,1,Yağışlı,0,62
Atatürk,11,5,1,Açıq,0,31
Babək,20,6,1,Açıq,0,23
Zərdabi,2,2,0,Yağışlı,0,45
Neftçilər,16,2,0,Dumanlı,0,51
Zərdabi,5,1,0,Dumanlı,0,29
İstiqlaliyyət,12,4,0,Açıq,1,66
Rəşid Behbudov,8,4,0,Açıq,0,56
Rəşid Behbudov,17,4,0,Yağışlı,0,89
Zərdabi,23,4,0,Dumanlı,0,21
Neftçilər,7,4,0,Dumanlı,0,79
Tbilisi,6,6,1,Qarlı,0,45
Rəşid Behbudov,17,3,0,Açıq,0,73
Ziya Bünyadov,15,6,1,Yağışlı,0,67
Zərdabi,4,1,0,Dumanlı,0,28
Neftçilər,2,2,0,Açıq,1,47
İstiqlaliyyət,17,2,0,Açıq,0,71
Neftçilər,5,0,0,Yağışlı,0,49
Qara Qarayev,9,6,1,Yağışlı,0,38
Atatürk,12,0,0,Yağışlı,0,62
İstiqlaliyyət,15,4,0,Qarlı,0,55
Zərdabi,13,5,1,Dumanlı,0,57
İstiqlaliyyət,5,6,1,Dumanlı,0,31
Tbilisi,5,5,1,Dumanlı,0,24
Ziya Bünyadov,6,0,0,Yağışlı,0,53
Neftçilər,13,4,0,Yağışlı,0,56
Heydər Əliyev,17,0,0,Dumanlı,0,73
Zərdabi,13,0,0,Yağışlı,0,64
İstiqlaliyyət,13,5,1,Yağışlı,0,50
Rəşid Behbudov,23,1,0,Yağışlı,0,29
Zərdabi,13,4,0,Dumanlı,0,57
Atatürk,7,5,1,Dumanlı,0,49
Zərdabi,18,6,1,Dumanlı,0,50
Babək,1,1,0,Dumanlı,0,31
Zərdabi,8,4,0,Yağışlı,0,96
Tbilisi,17,2,0,Yağışlı,0,80
Tbilisi,18,0,0,Dumanlı,0,84
Heydər Əliyev,15,5,1,Yağışlı,0,75
Zərdabi,18,1,0,Dumanlı,2,100
İstiqlaliyyət,11,6,1,Yağışlı,0,79
Heydər Əliyev,13,0,0,Yağışlı,0,66
Rəşid Behbudov,0,3,0,Qarlı,0,48
Neftçilər,11,4,0,Açıq,0,52
Atatürk,18,4,0,Dumanlı,0,74
Ziya Bünyadov,4,3,0,Qarlı,0,60
Ziya Bünyadov,23,0,0,Qarlı,0,67
Tbilisi,20,0,0,Açıq,0,83
Qara Qarayev,3,5,1,Dumanlı,1,57
Zərdabi,3,0,0,Açıq,1,42
Tbilisi,15,3,0,Dumanlı,0,56
İstiqlaliyyət,11,1,0,Dumanlı,0,39
İstiqlaliyyət,6,6,1,Dumanlı,0,23
Neftçilər,10,4,0,Yağışlı,0,50
Neftçilər,4,4,0,Açıq,0,29
İstiqlaliyyət,19,4,0,Açıq,0,54
Qara Qarayev,18,6,1,Dumanlı,0,44
Babək,16,1,0,Yağışlı,0,63
Ziya Bünyadov,6,4,0,Açıq,1,56
Neftçilər,0,5,1,Dumanlı,0,40
Tbilisi,8,0,0,Yağışlı,0,100
Rəşid Behbudov,11,2,0,Yağışlı,0,79
Ziya Bünyadov,10,1,0,Qarlı,0,81
Atatürk,10,5,1,Açıq,1,55
Babək,0,4,0,Yağışlı,0,38
Babək,19,2,0,Dumanlı,0,77
Ziya Bünyadov,18,2,0,Yağışlı,1,100
Rəşid Behbudov,23,0,0,Yağışlı,0,47
Heydər Əliyev,11,6,1,Dumanlı,2,93
Heydər Əliyev,16,0,0,Açıq,0,40
Zərdabi,9,0,0,Dumanlı,0,88
Zərdabi,13,5,1,Dumanlı,0,69
Babək,15,3,0,Dumanlı,0,53
Neftçilər,15,5,1,Yağışlı,0,55
Ziya Bünyadov,20,4,0,Qarlı,0,100
Qara Qarayev,16,0,0,Qarlı,0,95
Zərdabi,12,0,0,Dumanlı,0,47
Qara Qarayev,8,5,1,Yağışlı,0,43
Qara Qarayev,6,2,0,Yağışlı,1,64
Qara Qarayev,16,5,1,Yağışlı,0,44
Tbilisi,9,3,0,Yağışlı,0,86
Atatürk,18,2,0,Açıq,0,68
Babək,2,3,0,Qarlı,0,57
İstiqlaliyyət,4,6,1,Açıq,0,13
Heydər Əliyev,6,6,1,Açıq,2,67
Babək,6,1,0,Açıq,0,24
Qara Qarayev,13,1,0,Qarlı,0,64
Heydər Əliyev,18,6,1,Qarlı,2,100
Heydər Əliyev,14,5,1,Açıq,0,24
İstiqlaliyyət,20,6,1,Yağışlı,0,62
Babək,21,3,0,Qarlı,0,55
Heydər Əliyev,5,4,0,Dumanlı,0,37
Tbilisi,17,6,1,Dumanlı,0,56
Babək,5,1,0,Dumanlı,0,23
Neftçilər,19,3,0,Qarlı,0,95
Tbilisi,21,0,0,Dumanlı,1,38
Heydər Əliyev,4,1,0,Yağışlı,0,30
Ziya Bünyadov,18,3,0,Dumanlı,0,82
Rəşid Behbudov,7,0,0,Yağışlı,1,100
Neftçilər,2,4,0,Yağışlı,0,29
İstiqlaliyyət,20,2,0,Qarlı,0,95
Babək,7,1,0,Yağışlı,0,82
Qara Qarayev,2,3,0,Dumanlı,0,33
Qara Qarayev,7,0,0,Qarlı,0,100
İstiqlaliyyət,3,6,1,Qarlı,0,65
Neftçilər,23,2,0,Yağışlı,0,49
Zərdabi,4,0,0,Açıq,0,21
Zərdabi,3,2,0,Qarlı,0,48
Atatürk,9,0,0,Qarlı,0,92
Babək,22,4,0,Qarlı,0,59
Heydər Əliyev,21,2,0,Yağışlı,0,30
Babək,18,4,0,Dumanlı,0,94
Babək,9,0,0,Yağışlı,0,95
Heydər Əliyev,0,4,0,Açıq,0,14
Ziya Bünyadov,19,4,0,Yağışlı,0,90
Neftçilər,23,5,1,Dumanlı,0,35
Heydər Əliyev,9,1,0,Qarlı,0,100
Heydər Əliyev,18,6,1,Qarlı,0,73
Heydər Əliyev,9,4,0,Dumanlı,0,79
İstiqlaliyyət,13,3,0,Dumanlı,0,45
Rəşid Behbudov,22,6,1,Açıq,1,51
İstiqlaliyyət,7,2,0,Yağışlı,0,100
İstiqlaliyyət,3,1,0,Açıq,0,30
Tbilisi,3,6,1,Açıq,0,16
Tbilisi,5,4,0,Yağışlı,0,35
İstiqlaliyyət,1,6,1,Yağışlı,0,49
Zərdabi,14,1,0,Qarlı,0,56
Neftçilər,18,4,0,Dumanlı,0,88
Heydər Əliyev,18,2,0,Dumanlı,1,91
Neftçilər,22,1,0,Qarlı,0,55
İstiqlaliyyət,8,4,0,Açıq,0,66
Neftçilər,22,3,0,Açıq,0,29
Ziya Bünyadov,22,5,1,Dumanlı,0,51
Ziya Bünyadov,16,6,1,Açıq,0,53
İstiqlaliyyət,6,6,1,Yağışlı,0,38
Tbilisi,15,3,0,Qarlı,1,89
Zərdabi,10,3,0,Qarlı,0,80
Ziya Bünyadov,21,1,0,Açıq,0,29
Rəşid Behbudov,21,5,1,Yağışlı,0,42
Zərdabi,20,6,1,Dumanlı,0,46
Tbilisi,12,1,0,Qarlı,1,100
Ziya Bünyadov,5,6,1,Yağışlı,0,47
İstiqlaliyyət,15,0,0,Açıq,0,53
Neftçilər,16,5,1,Açıq,0,45
Qara Qarayev,16,0,0,Dumanlı,0,36
Tbilisi,4,5,1,Yağışlı,0,34
Heydər Əliyev,1,3,0,Açıq,0,16
